time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/clip_range,train/loss,train/explained_variance,train/n_updates,train/value_loss,train/learning_rate,train/approx_kl,train/clip_fraction
2138,0.25551231,49,1.02,46,100352,-0.06368701675673946,-7.4907625913619995,0.2,-0.07820688188076019,0.1183437705039978,480,0.018857377837412058,0.0003,0.054332383,0.372900390625
2182,0.28362174,50,1.07,46,102400,-0.06028999875561567,-7.431806905567646,0.2,-0.10713142901659012,0.0705270767211914,490,0.02262119190127123,0.0003,0.059610825,0.37412109375
2226,0.26320698,51,1.03,46,104448,-0.05886699888797011,-7.393742348253727,0.2,-0.10062755644321442,0.1173517107963562,500,0.020274232898373157,0.0003,0.058905482,0.369287109375
2269,0.25187572,52,1.11,46,106496,-0.062429397058440375,-7.320421697199345,0.2,-0.09364093095064163,0.11324626207351685,510,0.02188085870584473,0.0003,0.06083501,0.38671875
2314,0.27460542,53,1.04,46,108544,-0.061149830208159985,-7.292713031172752,0.2,-0.10983286798000336,0.1349899172782898,520,0.02145809433422983,0.0003,0.06760426,0.373095703125
2358,0.26841066,54,1.03,46,110592,-0.05772160400665598,-7.235453288257122,0.2,-0.08994998782873154,0.11734580993652344,530,0.021246353079914116,0.0003,0.062435556,0.38642578125
2401,0.2544356,55,1.05,46,112640,-0.05490738156659063,-7.192269551753998,0.2,-0.07855480909347534,0.09676134586334229,540,0.021703709618304857,0.0003,0.070941165,0.388671875
2443,0.25859619,56,1.08,46,114688,-0.05672199168184307,-7.152053700387478,0.2,-0.08730769157409668,0.10467857122421265,550,0.021903516614111142,0.0003,0.06762492,0.37060546875
2487,0.2601287,57,1.04,46,116736,-0.05651429968711454,-7.1141770631074905,0.2,-0.09012734889984131,0.11647319793701172,560,0.02047780955617782,0.0003,0.067424946,0.373974609375
2530,0.27325631,58,1.06,46,118784,-0.0625038417900214,-7.0939698070287704,0.2,-0.09383021295070648,0.1047009825706482,570,0.02123611359857023,0.0003,0.07911334,0.411279296875
2574,0.29426630000000004,59,1.04,46,120832,-0.05968664864485618,-7.013097724318504,0.2,-0.0773213654756546,0.13072508573532104,580,0.02048370536067523,0.0003,0.07233156,0.407373046875
2616,0.29932241000000004,60,1.04,46,122880,-0.06044890503253555,-6.953080850839615,0.2,-0.10521821677684784,0.09752434492111206,590,0.020822886054520495,0.0003,0.08170751,0.404052734375
2660,0.22590953,61,1.1,46,124928,-0.045884103546268304,-6.944438779354096,0.2,-0.09629388898611069,0.1460666060447693,600,0.0202201414416777,0.0003,0.072030306,0.373681640625
2705,0.26277463,62,1.04,46,126976,-0.05810656671819743,-6.8927793353796005,0.2,-0.10956795513629913,0.13371539115905762,610,0.02123549680400174,0.0003,0.07091816,0.3833984375
